#Distance	de Blok THINGS (NGC 2403)						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
13.437	135.675	3.606	37.283	42.285	0	0.1	0.1
13.514	136.329	4.257	37.379	42.027	0	0.1	0.1
13.58	137.092	4.175	37.476	42.108	0	0.1	0.1
13.645	137.638	3.87	37.501	42.095	0	0.1	0.1
13.723	138.183	4.146	37.488	41.881	0	0.1	0.1
13.8	138.838	4.773	37.561	41.917	0	0.1	0.1
13.83	138.985	4.949	37.711	41.695	0	0.1	0.1
13.917	140.037	3.955	37.816	41.666	0	0.1	0.1
14.027	141.642	4.452	38.043	41.363	0	0.1	0.1
14.086	142.546	4.412	37.904	41.367	0	0.1	0.1
14.137	143.2	4.797	37.877	41.152	0	0.1	0.1
14.224	144.298	3.721	37.711	41.031	0	0.1	0.1
14.254	141.346	5.673	37.716	40.825	0	0.1	0.1
14.332	142.219	4.497	37.675	40.736	0	0.1	0.1
14.422	142.306	4.751	37.379	40.699	0	0.1	0.1
14.462	141.346	6.273	37.279	40.607	0	0.1	0.1
14.552	139.601	5.412	37.355	40.506	0	0.1	0.1
14.565	141.128	4.226	37.316	40.39	0	0.1	0.1
14.643	140.473	4.881	37.542	40.325	0	0.1	0.1
14.698	140.314	4.595	37.379	40.367	0	0.1	0.1
14.786	140.473	4.157	37.388	40.107	0	0.1	0.1
14.837	139.71	4.617	37.3	40.159	0	0.1	0.1
14.928	139.274	3.696	37.238	40.183	0	0.1	0.1
14.941	138.51	4.281	37.251	40.183	0	0.1	0.1
15.014	138.321	3.679	37.379	40.035	0	0.1	0.1
15.032	137.529	5.053	37.417	39.856	0	0.1	0.1
15.123	140.801	3.526	37.529	39.719	0	0.1	0.1
15.172	141.642	3.32	37.379	39.703	0	0.1	0.1
15.291	140.801	2.833	37.376	39.703	0	0.1	0.1
15.33	140.314	2.85	37.379	39.703	0	0.1	0.1
15.408	139.819	4.217	37.385	39.646	0	0.1	0.1
15.487	138.985	3.653	37.379	39.371	0	0.1	0.1
15.563	139.601	2.981	37.372	39.165	0	0.1	0.1
15.628	141.237	2.799	37.409	39.156	0	0.1	0.1
15.724	140.314	2.988	37.047	39.039	0	0.1	0.1
15.797	141.019	2.345	36.904	38.865	0	0.1	0.1
15.882	141.642	2.324	36.715	38.707	0	0.1	0.1
15.965	140.801	2.654	36.577	38.482	0	0.1	0.1
16.017	139.819	2.763	36.516	38.482	0	0.1	0.1
16.079	138.321	3.321	36.383	38.375	0	0.1	0.1
16.147	136.656	4.472	36.176	38.365	0	0.1	0.1
16.199	135.893	4.544	36.064	38.277	0	0.1	0.1
16.237	135.333	4.681	36.051	38.375	0	0.1	0.1
16.315	136.22	5.117	36.051	38.237	0	0.1	0.1
16.395	136.329	4.317	36.051	38.075	0	0.1	0.1
16.445	135.893	4.072	36.007	37.856	0	0.1	0.1
16.562	135.675	3.126	35.853	37.744	0	0.1	0.1
16.691	135.456	2.273	35.523	37.679	0	0.1	0.1
16.79	135.001	1.328	35.386	37.711	0	0.1	0.1
16.86	134.475	2.49	35.349	37.518	0	0.1	0.1
16.912	135.565	1.773	35.349	37.466	0	0.1	0.1
17.003	134.475	1.49	35.288	37.482	0	0.1	0.1
17.016	134.039	1.935	35.139	37.396	0	0.1	0.1
17.08	133.602	2.291	35.239	37.384	0	0.1	0.1
17.145	134.005	1.888	35.054	37.379	0	0.1	0.1
17.249	134.802	3.854	35.114	37.096	0	0.1	0.1
17.343	135.333	5.977	35.054	37.047	0	0.1	0.1
17.417	134.475	5.78	35.227	36.955	0	0.1	0.1
17.461	135.001	4.316	35.054	37.047	0	0.1	0.1
17.56	135.784	4.09	35.093	36.778	0	0.1	0.1
17.638	137.42	3.999	34.968	36.628	0	0.1	0.1
17.703	137.638	5.235	34.693	36.54	0	0.1	0.1
17.777	138.653	5.313	34.722	36.715	0	0.1	0.1
17.832	137.202	5.853	34.968	36.148	0	0.1	0.1
17.895	136.993	5.313	35.054	36.051	0	0.1	0.1
17.949	137.311	5.179	35.057	36.05	0	0.1	0.1
18.014	138.985	4.27	35.054	36.051	0	0.1	0.1
